               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.033231,            0.037849,           0.0059137,             0.79593,             0.65054,             0.69609,              0.4336,            0.030533,            0.033851,           0.0087128,           0.0033175,           0.0033175,           0.0033175
                 137,            0.033167,            0.037893,           0.0058785,             0.79478,             0.65043,             0.69623,             0.43358,            0.030531,            0.033853,           0.0087152,            0.003268,            0.003268,            0.003268
                 138,            0.033286,             0.03816,           0.0058536,             0.78777,             0.65253,             0.69673,             0.43394,            0.030528,            0.033854,           0.0087183,           0.0032185,           0.0032185,           0.0032185
                 139,             0.03317,             0.03804,           0.0057738,             0.78762,             0.65276,             0.69698,             0.43407,            0.030526,            0.033859,           0.0087195,            0.003169,            0.003169,            0.003169
                 140,            0.033375,            0.037976,           0.0058116,             0.78614,             0.65424,               0.697,              0.4342,            0.030525,            0.033863,           0.0087241,           0.0031195,           0.0031195,           0.0031195
                 141,            0.033006,            0.037775,           0.0055437,             0.78425,             0.65423,             0.69759,             0.43472,            0.030521,            0.033869,            0.008725,             0.00307,             0.00307,             0.00307
                 142,            0.033031,            0.037799,           0.0056882,             0.78175,             0.65382,             0.69751,              0.4346,             0.03052,            0.033871,           0.0087275,           0.0030205,           0.0030205,           0.0030205
                 143,            0.033006,            0.037792,           0.0055707,             0.78714,             0.65376,             0.69762,             0.43478,            0.030519,            0.033873,           0.0087312,            0.002971,            0.002971,            0.002971
                 144,            0.032717,            0.037108,           0.0055128,             0.68412,             0.68816,             0.69801,             0.43482,            0.030516,            0.033878,           0.0087351,           0.0029215,           0.0029215,           0.0029215
                 145,             0.03274,            0.037474,           0.0054883,             0.68271,             0.68829,             0.69802,             0.43467,            0.030512,             0.03388,           0.0087384,            0.002872,            0.002872,            0.002872
                 146,            0.032785,             0.03716,           0.0054393,             0.68389,             0.68769,             0.69794,             0.43503,             0.03051,            0.033885,           0.0087421,           0.0028225,           0.0028225,           0.0028225
                 147,            0.032615,            0.037454,           0.0054605,             0.68403,             0.68835,             0.69801,             0.43489,             0.03051,            0.033892,           0.0087474,            0.002773,            0.002773,            0.002773
                 148,            0.032833,              0.0374,           0.0053878,             0.68418,             0.68676,             0.69805,             0.43494,            0.030511,              0.0339,           0.0087524,           0.0027235,           0.0027235,           0.0027235
                 149,            0.032574,            0.037082,           0.0055083,             0.68637,             0.68639,             0.69811,             0.43506,             0.03051,            0.033906,           0.0087564,            0.002674,            0.002674,            0.002674
                 150,            0.032588,            0.037091,           0.0052143,             0.69057,              0.6863,             0.69813,             0.43511,             0.03051,            0.033915,           0.0087615,           0.0026245,           0.0026245,           0.0026245
                 151,             0.03257,            0.037151,           0.0052335,             0.69613,              0.6829,             0.69833,             0.43517,            0.030508,            0.033923,            0.008768,            0.002575,            0.002575,            0.002575
                 152,            0.032465,            0.037358,           0.0053287,             0.69678,             0.68357,             0.69815,             0.43511,            0.030507,             0.03393,           0.0087725,           0.0025255,           0.0025255,           0.0025255
