               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.034117,            0.039554,              0.0075,             0.65877,              0.6616,             0.69179,             0.43648,            0.029925,            0.033612,           0.0088159,           0.0067825,           0.0067825,           0.0067825
                  67,            0.034336,            0.040181,           0.0076497,             0.66659,              0.6563,              0.6902,             0.43562,            0.029912,            0.033603,           0.0088122,            0.006733,            0.006733,            0.006733
                  68,             0.03434,            0.040027,           0.0076765,             0.67021,             0.65388,             0.68908,             0.43576,            0.029904,            0.033595,           0.0088034,           0.0066835,           0.0066835,           0.0066835
                  69,            0.034438,            0.040319,           0.0075944,             0.68764,             0.66128,             0.68853,              0.4357,            0.029885,            0.033591,           0.0087963,            0.006634,            0.006634,            0.006634
                  70,            0.034118,            0.039464,           0.0075849,             0.66664,             0.68006,              0.6889,             0.43592,            0.029858,            0.033581,           0.0087886,           0.0065845,           0.0065845,           0.0065845
                  71,            0.033894,            0.039477,            0.007311,             0.68516,             0.64958,             0.69008,             0.43632,            0.029831,            0.033582,           0.0087853,            0.006535,            0.006535,            0.006535
                  72,            0.034223,            0.039774,           0.0074284,             0.66034,             0.69038,             0.69069,             0.43652,            0.029806,            0.033577,           0.0087851,           0.0064855,           0.0064855,           0.0064855
                  73,            0.033708,            0.039028,           0.0073236,             0.67179,             0.68689,             0.69196,             0.43767,            0.029787,            0.033575,           0.0087643,            0.006436,            0.006436,            0.006436
                  74,            0.033862,            0.038848,            0.007126,             0.67537,             0.68276,              0.6933,             0.43821,            0.029777,            0.033578,           0.0087612,           0.0063865,           0.0063865,           0.0063865
                  75,            0.033618,            0.038429,           0.0072803,             0.66718,             0.68407,             0.69347,             0.43888,            0.029763,            0.033575,           0.0087599,            0.006337,            0.006337,            0.006337
                  76,            0.033973,            0.038623,           0.0071825,             0.66789,             0.68517,             0.69415,             0.43906,            0.029761,            0.033572,           0.0087621,           0.0062875,           0.0062875,           0.0062875
                  77,            0.033976,            0.039156,           0.0072183,             0.66294,             0.68939,             0.69453,             0.43971,            0.029755,             0.03357,           0.0087585,            0.006238,            0.006238,            0.006238
                  78,            0.033864,            0.039259,           0.0070796,             0.67216,             0.68493,               0.695,             0.44003,            0.029754,            0.033578,           0.0087535,           0.0061885,           0.0061885,           0.0061885
                  79,            0.034017,            0.039395,           0.0069193,             0.68642,             0.67383,             0.69515,             0.44023,            0.029751,            0.033583,           0.0087548,            0.006139,            0.006139,            0.006139
                  80,            0.033966,            0.039373,           0.0069895,             0.68786,             0.67245,             0.69445,             0.44046,            0.029745,            0.033585,           0.0087551,           0.0060895,           0.0060895,           0.0060895
                  81,            0.033678,            0.038983,           0.0067755,              0.6894,             0.67337,             0.69736,             0.44051,            0.029744,             0.03359,           0.0087562,             0.00604,             0.00604,             0.00604
                  82,            0.033701,            0.039038,           0.0068279,             0.68589,              0.6764,             0.69778,             0.44074,            0.029739,            0.033589,           0.0087568,           0.0059905,           0.0059905,           0.0059905
                  83,            0.033439,            0.038465,           0.0069021,             0.68643,             0.67663,             0.69746,             0.44083,            0.029737,            0.033593,           0.0087538,            0.005941,            0.005941,            0.005941
                  84,            0.033607,            0.038625,           0.0066854,             0.68948,             0.67714,             0.69682,             0.44057,            0.029736,            0.033601,           0.0087583,           0.0058915,           0.0058915,           0.0058915
                  85,            0.033454,             0.03819,           0.0065359,              0.6877,             0.67648,             0.69631,             0.44025,            0.029735,            0.033607,           0.0087635,            0.005842,            0.005842,            0.005842
                  86,            0.033436,             0.03852,           0.0066147,             0.68947,             0.67607,             0.69657,             0.44022,            0.029734,            0.033618,           0.0087678,           0.0057925,           0.0057925,           0.0057925
                  87,            0.033489,            0.038412,           0.0066618,              0.6902,             0.67712,             0.69658,             0.44035,            0.029732,            0.033622,           0.0087778,            0.005743,            0.005743,            0.005743
                  88,            0.033281,            0.038155,           0.0064393,             0.69327,             0.67657,             0.69639,              0.4408,             0.02973,            0.033628,            0.008784,           0.0056935,           0.0056935,           0.0056935
                  89,            0.033547,            0.038639,            0.006287,              0.6959,             0.67685,             0.69578,              0.4404,            0.029731,             0.03364,           0.0087913,            0.005644,            0.005644,            0.005644
                  90,            0.033489,            0.038476,           0.0063782,             0.69771,             0.67442,             0.69519,              0.4402,            0.029728,            0.033642,           0.0087925,           0.0055945,           0.0055945,           0.0055945
                  91,            0.033405,            0.038603,           0.0065428,             0.69559,             0.67731,             0.69573,             0.44043,            0.029724,            0.033645,           0.0087896,            0.005545,            0.005545,            0.005545
                  92,            0.033175,            0.037571,           0.0063447,             0.69565,             0.67549,              0.6957,             0.44044,            0.029718,            0.033649,           0.0087869,           0.0054955,           0.0054955,           0.0054955
                  93,            0.033266,            0.038614,           0.0063977,              0.6959,             0.67844,             0.69592,             0.44059,            0.029716,            0.033657,           0.0087894,            0.005446,            0.005446,            0.005446
                  94,            0.033189,            0.038256,            0.005859,             0.69726,             0.67786,              0.6965,             0.44108,            0.029714,            0.033666,           0.0087951,           0.0053965,           0.0053965,           0.0053965
                  95,            0.033315,            0.038735,           0.0061331,              0.7031,              0.6728,             0.69656,             0.44127,             0.02971,            0.033671,           0.0088018,            0.005347,            0.005347,            0.005347
                  96,             0.03318,            0.038019,           0.0063116,             0.70411,             0.67308,             0.69667,             0.44161,            0.029704,            0.033672,           0.0088063,           0.0052975,           0.0052975,           0.0052975
                  97,            0.032995,            0.037767,           0.0059368,             0.70717,             0.67199,             0.69726,             0.44176,            0.029702,            0.033677,           0.0088134,            0.005248,            0.005248,            0.005248
